Producto,Categoria,Precio,Unidad
Bond 75g (Carta),Impresión Digital,1.8,Pza
Bond 75g (Tabloide),Impresión Digital,4.0,Pza
Bond 90g (Carta),Impresión Digital,1.5,Pza
Bond 90g (Tabloide),Impresión Digital,4.0,Pza
Bond 120g (Carta),Impresión Digital,1.5,Pza
Bond 120g (Tabloide),Impresión Digital,4.5,Pza
Cartulina Bristol 180g (Carta),Impresión Digital,2.0,Pza
Cartulina Bristol 180g (Tabloide),Impresión Digital,4.5,Pza
Cartulina Bristol 200g (Carta),Impresión Digital,2.0,Pza
Cartulina Bristol 200g (Tabloide),Impresión Digital,4.5,Pza
Cartulina Bristol 240g (Carta),Impresión Digital,3.0,Pza
Cartulina Bristol 240g (Tabloide),Impresión Digital,5.5,Pza
Cartulina Bristol 340g (Carta),Impresión Digital,3.0,Pza
Cartulina Bristol 340g (Tabloide),Impresión Digital,6.5,Pza
Cartulina Opalina 240g (Carta),Impresión Digital,3.0,Pza
Cartulina Opalina 240g (Tabloide),Impresión Digital,5.5,Pza
Cartulina Opalina 350g (Carta),Impresión Digital,3.5,Pza
Cartulina Opalina 350g (Tabloide),Impresión Digital,6.5,Pza
Cartulina Riber Blanco/Crema (Carta),Impresión Digital,3.5,Pza
Cartulina Riber Blanco/Crema (Tabloide),Impresión Digital,6.5,Pza
Papel Riber Blanco/Crema (Carta),Impresión Digital,2.5,Pza
Papel Riber Blanco/Crema (Tabloide),Impresión Digital,4.5,Pza
Papel Lino Tela 120g (Carta),Impresión Digital,2.5,Pza
Papel Lino Tela 120g (Tabloide),Impresión Digital,4.5,Pza
Papel Lino Tela 240g (Carta),Impresión Digital,2.5,Pza
Papel Lino Tela 240g (Tabloide),Impresión Digital,4.5,Pza
Couché 150g Solo Frente,Impresión Digital,6.0,Pza
Couché 150g Frente/Vuelta,Impresión Digital,7.0,Pza
Couché 300g Solo Frente,Impresión Digital,12.0,Pza
Couché 300g Frente/Vuelta,Impresión Digital,14.0,Pza
Couché Adhesivo UPM (1 a 4 pzas),Adhesivos,10.0,Pza
Couché Adhesivo UPM (Volumen),Adhesivos,9.0,Pza
Papel Adhesivo Dimasa,Adhesivos,12.0,Pza
Papel Adhesivo Plateado,Adhesivos,19.0,Pza
Papel Adhesivo Dorado,Adhesivos,19.0,Pza
Papel Adhesivo Refrigeración,Adhesivos,17.0,Pza
Papel Adhesivo Holográfico,Adhesivos,23.0,Pza
Papel Adhesivo Kraft,Adhesivos,13.0,Pza
Polipropileno Blanco,Adhesivos,23.0,Pza
Polipropileno Transparente,Adhesivos,23.0,Pza
Polipropileno Plata,Adhesivos,30.0,Pza
Polipropileno Oro,Adhesivos,38.0,Pza
Polipropileno Holográfico,Adhesivos,50.0,Pza
Adhesivo Texturizado,Adhesivos,13.0,Pza
Vinil Fotoluminiscente,Adhesivos,180.0,Pza
Adhesivo Estándar (Eclick),Adhesivos,8.0,Pza
Banner 33x95cm (150-200g) Frente,Formatos Banner,24.0,Pza
Banner 33x95cm (150-200g) F/V,Formatos Banner,39.0,Pza
Banner 33x95cm (300g) Frente,Formatos Banner,25.0,Pza
Banner 33x95cm (300g) F/V,Formatos Banner,40.0,Pza
Banner 30x70cm (150-200g) Frente,Formatos Banner,19.0,Pza
Banner 30x70cm (150-200g) F/V,Formatos Banner,31.0,Pza
Banner 30x70cm (300g) Frente,Formatos Banner,20.0,Pza
Banner 30x70cm (300g) F/V,Formatos Banner,33.0,Pza
Banner 31x91cm Opalina Bco/Crema Frente,Formatos Banner,25.0,Pza
Banner 31x91cm Opalina Bco/Crema F/V,Formatos Banner,40.0,Pza
Banner 33x66cm Papel Adhesivo,Formatos Banner,17.0,Pza
Banner 33x51cm Papel Adhesivo,Formatos Banner,13.0,Pza
Polypap 12 pts,Sintéticos,18.0,Pza
Polypap 14 pts,Sintéticos,20.0,Pza
Acetato,Sintéticos,32.0,Pza
Laminado Mate (Frente),Laminados,4.0,Pza
Laminado Mate (Frente/Vuelta),Laminados,8.0,Pza
Laminado Brillante (Frente),Laminados,4.0,Pza
Laminado Brillante (Frente/Vuelta),Laminados,8.0,Pza
Laminado Soft Touch,Laminados,8.0,Pza
Laminado Glitter,Laminados,9.0,Pza
FX Holográficos (Gota Estrellas etc),Laminados,7.0,Pza
Encapsulado Carta 5mil (Mate/Brillante),Laminados,30.0,Pza
Encapsulado Carta 10mil (Mate/Brillante),Laminados,34.0,Pza
Encapsulado 30x45cm 5mil,Laminados,57.0,Pza
Encapsulado 30x45cm 10mil,Laminados,62.0,Pza
Lona Front 13 oz (M²),Gran Formato,38.0,M²
Lona Backlite (M²),Gran Formato,90.0,M²
Lona Mesh (M²),Gran Formato,160.0,M²
Tela Banner (M²),Gran Formato,165.0,M²
Película Backlite (M²),Gran Formato,180.0,M²
Floor Graphic (M²),Gran Formato,290.0,M²
Vinil Brillante (M²),Gran Formato,75.0,M²
